director,first_actor,second_actor,third_actor,genres,movie_title,soup,overview
Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,forsaken,demimoore landonliboiron michaelwincott joncassar Drama Western,"John Henry returns to his hometown in hopes of repairing his relationship with his estranged father, but a local gang is terrorizing the town. John Henry is the only one who can stop them, however he has abandoned both his gun and reputation as a fearless quick-draw killer."
Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Action Adventure Fantasy,red sonja,erniereyesjr. brigittenielsen sandahlbergman richardfleischer Action Adventure Fantasy,"The tyrant Gedren seeks the total power in a world of barbarism. She raids the city Hablac and kills the keeper of a talisman that gives her great power. Red Sonja, sister of the keeper, sets out with her magic sword to overthrow Gedren."
Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller,red lights,robertdeniro tobyjones craigroberts rodrigocortés Drama Horror Mystery Thriller,A cross-country trip turns out to be a nightmare for a troubled couple.
Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy,superbad,emmastone joelotruglio kevincorrigan gregmottola Comedy,"High school best buddies are facing separation anxiety as they prepare to go off to college. While attempting to score alcohol for a party with help from a fake ID-toting friend, the guys' evening takes a turn into chaotic territory."
Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Comedy Crime Drama,madea goes to jail,vanessaferlito keshiaknightpulliam derekluke tylerperry Comedy Crime Drama,"At long last, Madea returns to the big screen in TYLER PERRY'S MADEA GOES TO JAIL. This time America's favorite irreverent, pistol-packin' grandmomma is raising hell behind bars and lobbying for her freedom...Hallelujer!"
David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,Action Horror,wolves,jasonmomoa jenniferhale stephenmchattie davidhayter Action Horror,"A look at the great wolf debate with comments and views from people on both sides. It also contains footage of Natives dressing up &amp; doing tribal dances. The link between wolves, bison, and Native Americans; as well as white man's reasoning behind their determination to eliminate bison and wolves from the landscape."
Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,Drama Music Musical Romance,step up 2: the streets,cassieventura marikoda luisrosado jonm.chu Drama Music Musical Romance,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets."
Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,Action Animation Comedy Crime Family,hoodwinked!,annehathaway chazzpalminteri jimbelushi coryedwards Action Animation Comedy Crime Family,"The recipes of candies of the goody shops have been stolen by the Goody Bandit, and many animals are out of business. While the police are chasing the criminal, there is a mess at Granny's house evolving Little Red Hiding Hood, The Wolf, The Woodsman and Granny, disturbing the peace in the forest and they are all arrested by the impatient Chief Grizzly."
Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Drama History War,hotel rwanda,doncheadle sophieokonedo hakeemkae-kazim terrygeorge Drama History War,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives."
Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Action Crime Drama Thriller,hitman,henryiancusick dougrayscott ulrichthomsen xaviergens Action Crime Drama Thriller,"The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue."
Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Drama Family Music Musical,black nativity,jenniferhudson maryj.blige vondiecurtis-hall kasilemmons Drama Family Music Musical,"A street-wise teen from Baltimore who has been raised by a single mother travels to New York City to spend the Christmas holiday with his estranged relatives, where he embarks on a surprising and inspirational journey."
Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,Action Thriller,the prince,brucewillis 50cent jessicalowndes brianamiller Action Thriller,A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.
Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,Crime Drama Thriller,city of ghosts,kirkfox shawnandrews robcampbell mattdillon Crime Drama Thriller,"A con man (Dillon) travels to Cambodia (also on the run from law enforcement in the U.S.) to collect his share in an insurance scam, but discovers more than he bargained for"
Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Fantasy Horror Thriller,the others,fionnulaflanagan elainecassidy ericsykes alejandroamenábar Fantasy Horror Thriller,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions."
James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,Action Adventure Sci-Fi,aliens,michaelbiehn carriehenn jenettegoldstein jamescameron Action Adventure Sci-Fi,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,Drama Family Musical Romance,my fair lady,jeremybrett rexharrison theodorebikel georgecukor Drama Family Musical Romance,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,Horror Mystery Thriller,i know what you did last summer,musewatson sarahmichellegellar anneheche jimgillespie Horror Mystery Thriller,"As they celebrate their high school graduation, four friends are involved in a hit-and-run accident when their car hits and apparently kills a pedestrian on an isolated roadway. They dispose of the body and vow to keep the incident a secret, a year later somebody starts sending them letters bearing the warning ""I Know What You Did Last Summer."""
Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Comedy,let's be cops,robriggle damonwayansjr. jamesd'arcy lukegreenfield Comedy,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line."
Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Adventure Comedy Drama Romance,sideways,virginiamadsen patrickgallagher m.c.gainey alexanderpayne Adventure Comedy Drama Romance,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle."
Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Comedy,beerfest,chrismoss owainyeoman jaychandrasekhar jaychandrasekhar Comedy,"During a trip to Germany to scatter their grandfather's ashes, German-American brothers Todd and Jan discover Beerfest, the secret Olympics of downing stout, and want to enter the contest to defend their family's beer-guzzling honor. Their Old Country cousins sneer at the Yanks' chances, prompting the siblings to return to America to prepare for a showdown the following year."
Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Action Adventure History,hero,jetli tonychiuwaileung maggiecheung yimouzhang Action Adventure History,"Bernie Laplante is having a rough time. He's divorced, his ex-wife hates him and has custody of their son, the cops are setting a trap for him, then to top it all, he loses a shoe whilst rescuing passengers of a crashed jet. Being a thief who is down on his luck, Bernie takes advantage of the crash, but then someone else claims credit for the rescue."
John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,Comedy Drama Family Fantasy Sci-Fi,good boy!,liamaiken mollyshannon kevinnealon johnhoffman Comedy Drama Family Fantasy Sci-Fi,"An intergalactic dog pilot from Sirius (the dog star), visits Earth to verify the rumors that dogs have failed to take over the planet."
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Comedy Drama,the best man holiday,haroldperrineau sanaalathan eddiecibrian malcolmd.lee Comedy Drama,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited."
Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,Action Crime Drama Thriller,smokin' aces,ryanreynolds common alexrocco joecarnahan Action Crime Drama Thriller,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer breathing."
Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Comedy Romance,40 days and 40 nights,emmanuellevaugier vinessashaw paulocostanzo michaellehmann Comedy Romance,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life."
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,tron: legacy,jeffbridges oliviawilde jamesfrain josephkosinski Action Adventure Sci-Fi,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world."
John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,Comedy Music Romance,a night at the roxbury,willferrell chriskattan danhedaya johnfortenberry Comedy Music Romance,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own."
Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Drama Fantasy Romance,beastly,alexpettyfer mary-kateolsen erikknudsen danielbarnz Drama Fantasy Romance,"A curse transforms a handsome and arrogant young man into everything he detests in this contemporary retelling of Beauty and the Beast. Wealthy Kyle Kingson has everything a teenager could want in life, but he still gets off on humiliating the weaker and less attractive. When Kyle invites his misfit classmate Kendra to an environmental rally at their school, she questions his motivations but reluctantly accepts. Later, Kyle blows Kendra off, prompting the spurned goth girl to cast a dark spell on the swaggering egotist."
Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror,the hills have eyes,danbyrd gregnicotero vinessashaw alexandreaja Horror,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack."
Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy,dickie roberts: former child star,kevingrevioux jennaboyd marymccormack samweisman Comedy,"TV child star of the '70s, Dickie Roberts is now 35 and parking cars. Craving to regain the spotlight, he auditions for a role of a normal guy, but the director quickly sees he is anything but normal. Desperate to win the part, Dickie hires a family to help him replay his childhood and assume the identity of an average, everyday kid."
Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Biography Drama Sport,"mcfarland, usa",morgansaylor valenterodriguez dianamariariva nikicaro Biography Drama Sport,A track coach in a small California town transforms a team of athletes into championship contenders.
Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy,lottery ticket,brandont.jackson lorettadevine shadmoss erikwhite Comedy,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million
Chris Robinson,T.I.,Adam Boyer,Malika,Comedy Crime Drama Music Romance,atl,t.i. adamboyer malika chrisrobinson Comedy Crime Drama Music Romance,"As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade."
Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,Comedy Music Romance,pitch perfect,annakendrick hanamaelee benplatt jasonmoore Comedy Music Romance,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions."
Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,Comedy Drama Romance Sport,summer catch,marcblucas briandennehy brucedavison michaeltollin Comedy Drama Romance Sport,"A coming-of-age romantic comedy set against the backdrop of the Cape Cod Baseball League. Local boy Ryan Dunne (Freddie Prinze Jr.), now a pitcher for Boston College, meets Tenley Parrish (Jessica Biel), the daughter of a wealthy couple who summer on the Cape. Ryan and Tenley fall in love, much to the chagrin of their families, while Ryan clings to one last hope of being discovered and signed to a pro baseball contract."
Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller,a simple plan,garycole bridgetfonda chelcieross samraimi Crime Drama Thriller,"Captivated by the lure of sudden wealth, the quiet rural lives of two brothers erupt into conflicts of greed, paranoia and distrust when over $4 million in cash is discovered at the remote site of a downed small airplane. Their simple plan to retain the money while avoiding detection opens a Pandora's box when the fear of getting caught triggers panicked behavior and leads to virulent consequences"
Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller,they,alexandergould ethanembry marcblucas robertharmon Horror Mystery Thriller,"After witnessing a horrific and traumatic event, Julia Lund, a graduate student in psychology, gradually comes to the realization that everything which scared her as a child could be real. And what's worse, it might be coming back to get her.."
Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance,larry the cable guy: health inspector,thomasf.wilson larrythecableguy megynprice trentcooper Comedy Romance,A slovenly cable repairman becomes a big-city health inspector and is tasked with uncovering the source of a food poisoning epidemic.
Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical,the adventures of elmo in grouchland,vanessawilliams kevinclash carollspinney garyhalvorson Adventure Comedy Family Fantasy Musical,"Elmo loves his fuzzy, blue blanket, and would never let anything happen to it. However, a tug-of-war with his friend Zoe sends his blanket to a faraway land, and Elmo in hot pursuit. Facing life without his cherished blanket, Elmo musters all of his determination and courage and heads off on an action-packed rescue mission that plunges him into Grouchland-a place full of grouchy creatures, stinky garbage and the villainous Huxley. Along the way, Elmo learns an important lesson about sharing, realizing that he was selfish with his friend and responsible for what happened."
Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller,brooklyn's finest,doncheadle lilitaylor armandoriesco antoinefuqua Crime Drama Thriller,Enforcing the law within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects is the NYPD's sixty-fifth precinct. Three police officers struggle with the sometimes fine line between right and wrong.
Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War,55 days at peking,avagardner davidniven johnireland nicholasray Action Adventure Drama History War,"Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals."
Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror,evil dead,loutaylorpucci elizabethblackmore ellensandweiss fedealvarez Horror,"Evil Dead, the fourth installment of the Evil Dead franchise, serving as both a reboot and as a loose continuation of the series, features Mia, a young woman struggling with sobriety, heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one by one."
Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance,my life in ruins,niavardalos harlandwilliams racheldratch donaldpetrie Comedy Romance,"A Greek tour guide named Georgia attempts to recapture her kefi (Greek for mojo) by guiding a ragtag group of tourists around Greece and showing them the beauty of her native land. Along the way, she manages to open their eyes to the wonders of an exotic foreign land while beginning to see the world through a new set of eyes in the process."
Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music,american dreamz,judygreer dennisquaid chrisklein paulweitz Comedy Music,"The new season of ""American Dreamz,"" the wildly popular television singing contest, has captured the country's attention, as the competition looks to be between a young Midwestern gal (Moore) and a showtunes-loving young man from Orange County (Golzari). Recently awakened President Staton (Quaid) even wants in on the craze, as he signs up for the potential explosive season finale."
Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi,superman iv: the quest for peace,jimbroadbent margotkidder williamhootkins sidneyj.furie Action Adventure Family Sci-Fi,"With global superpowers engaged in an increasingly hostile arms race, Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor, recently sprung from jail, is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Superman's hair, Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space."
Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama,how she move,deraydavis clébennett conradcoates ianiqbalrashid Drama,"After the death of Raya Green's(Rutina Wesley) sister, she gets out from her classes at school, and sees a stomp crew practicing. She meets Bishop(Dwain Murphy) which is the dance crew leader. She then meets Michelle and does a stomp battle with her. They become enemies then friends later on. Her uptight mom pushes her to pass the test to get into Medical school, but she thinks she failed...."
Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller,running scared,paulwalker chazzpalminteri ivanamilicevic waynekramer Action Crime Drama Thriller,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer that nearly killed them in the past.
Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport,bobby jones: stroke of genius,aidanquinn jeremynortham paulfreeman rowdyherrington Biography Drama Romance Sport,"The story of golf icon and legend, Bobby Jones, who retired from competition at the tender age of 28."
Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance,shanghai surprise,victorwong paulfreeman clydekusatsu jimgoddard Adventure Crime Drama Romance,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai."
Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller,roar,tippihedren melaniegriffith zakesmokae noelmarshall Adventure Horror Thriller,"After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death."
Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller,veronica guerin,brendafricker davidmurray gerardmcsorley joelschumacher Biography Crime Drama Thriller,"In this true story, Veronica Guerin is an investigative reporter for an Irish newspaper. As the drug trade begins to bleed into the mainstream, Guerin decides to take on and expose those responsible. Beginning at the bottom with addicts, Guerin then gets in touch with John Traynor, a paranoid informant. Not without some prodding, Traynor leads her to John Gilligan, the ruthless head of the operation, who does not take kindly to Guerin's nosing."
Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller,escobar: paradise lost,joshhutcherson bradycorbet carlosbardem andreadistefano Crime Drama Romance Thriller,"For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business."
Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,southland tales,janeanegarofalo curtisarmstrong chrisandrewciulla richardkelly Comedy Mystery Sci-Fi Thriller,"Set in the futuristic landscape of Los Angeles on July 4, 2008, as it stands on the brink of social, economic and environmental disaster. Boxer Santaros is an action star who's stricken with amnesia. His life intertwines with Krysta Now, an adult film star developing her own reality television project, and Ronald Taverner, a Hermosa Beach police officer who holds the key to a vast conspiracy."
Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy,dragon hunters,robpaulsen jessharnell marymouser guillaumeivernel Adventure Animation Family Fantasy,"Dragon Hunters is a fantastic tale telling the adventures of two dragon hunters: the world has become a vast conglomerate of islands of varying size and shape. This babbling universe is mainly peopled with ruthless rogues, surly peasants and illiterate, petty lords Their main concerns revolve around two fundamental rules : Eat and don't get eaten."
Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi,damnation alley,georgepeppard jan-michaelvincent paulwinfield jacksmight Sci-Fi,A small group of survivors at a military installation who survived World War 3 attempt to drive across the desolate wasteland to where they hope more survivors are living. Hopefully their specially built vehicles will protect them against the freakish weather mutated plant and animal life and other dangers along the way.
Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,Horror Thriller,the apparition,juliannaguill rickgomez timwilliams toddlincoln Horror Thriller,"Plagued by frightening occurrences in their home, Kelly and Ben learn that a university's parapsychology experiment produced an entity that is now haunting them. The malevolent spirit feeds on fear and torments the couple no matter where they run. Desperate, Kelly and Ben turn to a paranormal researcher, but even with his aid, it may already be too late to save themselves from the terrifying presence."
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,Comedy Drama Family Romance,my girl,macaulayculkin jamieleecurtis griffindunne howardzieff Comedy Drama Family Romance,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse..."
Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,Biography Drama Romance,fur: an imaginary portrait of diane arbus,robertdowneyjr. tyburrell mattservitto stevenshainberg Biography Drama Romance,"In 1958 New York Diane Arbus is a housewife and mother who works as an assistant to her husband, a photographer employed by her wealthy parents. Respectable though her life is, she cannot help but feel uncomfortable in her privileged world. One night, a new neighbor catches Diane's eye, and the enigmatic man inspires her to set forth on the path to discovering her own artistry."
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,the illusionist,rufussewell eddiemarsan jakewood neilburger Drama Mystery Romance Thriller,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crowned prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector."
Oliver Stone,Hal Holbrook,Tamara Tunie,James Karen,Crime Drama,wall street,halholbrook tamaratunie jameskaren oliverstone Crime Drama,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing."
Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,sense and sensibility,alanrickman katewinslet tomwilkinson anglee Drama Romance,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."
Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,Biography Drama Romance,becoming jane,annehathaway juliewalters laurencefox julianjarrold Biography Drama Romance,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.
Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,Comedy Romance,sydney white,dannystrong mattlong sammlevine joenussbaum Comedy Romance,A modern retelling of Snow White set against students in their freshman year of college in the greek system.
Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,Drama,house of sand and fog,francesfisher kimdickens roneldard vadimperelman Drama,"Behrani, an Iranian immigrant buys a California bungalow, thinking he can fix it up, sell it again, and make enough money to send his son to college. However, the house is the legal property of former drug addict Kathy. After losing the house in an unfair legal dispute with the county, she is left with nowhere to go. Wanting her house back, she hires a lawyer and befriends a police officer. Neither Kathy nor Behrani have broken the law, so they find themselves involved in a difficult moral dilemma."
Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,Comedy Drama,dead poets society,robinwilliams joshcharles kurtwoodsmith peterweir Comedy Drama,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
Rob Reiner,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,Comedy Drama Romance,when harry met sally...,brunokirby gretchenpalmer harleyjanekozak robreiner Comedy Drama Romance,"During their travels from Chicago to New York, Harry and Sally Will debate whether or not sex ruins a perfect relationship between a man and a woman. Eleven years and later, they're still no closer to finding the answer."
Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,Drama,the verdict,charlotterampling jamesmason jackwarden sidneylumet Drama,"Frank Galvin is a down-on-his luck lawyer, reduced to drinking and ambulance chasing. Former associate Mickey Morrissey reminds him of his obligations in a medical malpractice suit that he himself served to Galvin on a silver platter: all parties willing to settle out of court. Blundering his way through the preliminaries, he suddenly realizes that perhaps after all the case should go to court; to punish the guilty, to get a decent settlement for his clients, and to restore his standing as a lawyer."
Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,Comedy,road trip,ethansuplee rachelblanchard paulocostanzo toddphillips Comedy,Four friends take off on an 1800 mile road trip to retrieve an illicit tape mistakenly mailed to a girl friend.
Brian Robbins,Paul Walker,Ron Lester,Mark Walters,Comedy Drama Romance Sport,varsity blues,paulwalker ronlester markwalters brianrobbins Comedy Drama Romance Sport,"In small-town Texas, high school football is a religion, 17-year-old schoolboys carry the hopes of an entire community onto the gridiron every Friday night. When star quarterback Lance Harbor suffers an injury, the Coyotes are forced to regroup under the questionable leadership of John Moxon, a second-string quarterback with a slightly irreverent approach to the game."
Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,Comedy Drama Romance,the artist,bérénicebejo edlauter bethgrant michelhazanavicius Comedy Drama Romance,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break."
Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,Adventure Comedy Drama Romance,moonrise kingdom,brucewillis billmurray bobbalaban wesanderson Adventure Comedy Drama Romance,"Set on an island off the coast of New England in the summer of 1965, Moonrise Kingdom tells the story of two twelve-year-olds who fall in love, make a secret pact, and run away together into the wilderness. As various authorities try to hunt them down, a violent storm is brewing off-shore – and the peaceful island community is turned upside down in more ways than anyone can handle."
Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,Horror,the texas chainsaw massacre: the beginning,mattbomer jordanabrewster lewtemple jonathanliebesman Horror,"Chrissie and her friends set out on a road trip for a final fling before one is shipped off to Vietnam. Along the way, bikers harass the foursome and cause an accident that throws Chrissie from the vehicle. The lawman who arrives on the scene kills one of the bikers and brings Chrissie's friends to the Hewitt homestead, where young Leatherface is learning the tools of terror."
Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,Drama,the young messiah,cliverussell vincentwalsh finnireland cyrusnowrasteh Drama,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity."
Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,Comedy Family,the master of disguise,jenniferesposito kenanthompson jamesbrolin perryandelinblake Comedy Family,"A sweet-natured Italian waiter named Pistachio Disguisey at his father Fabbrizio's restaurant, who happens to be a member of a family with supernatural skills of disguise. But moments later the patriarch of the Disguisey family is kidnapped Fabbrizio's former arch-enemy, Devlin Bowman, a criminal mastermind in an attempt to steal the world's most precious treasures from around the world. And it's up to Pistachio to track down Bowman and save his family before Bowman kills them!"
Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,Drama Fantasy War,pan's labyrinth,ivanabaquero maribelverdú sergilópez guillermodeltoro Drama Fantasy War,"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks."
