director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,overview
Larry Charles,Luenell,Ken Davitian,Chester,Comedy,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,Luenell Ken Davitian Chester Larry Charles Comedy,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture."
Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance,legally blonde,Linda Cardellini Raquel Welch Alanna Ubach Robert Luketic Comedy Romance,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde."
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,star trek iii: the search for spock,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Action Adventure Sci-Fi,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.
Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller,the exorcism of emily rose,Tom Wilkinson Colm Feore JR Bourne Scott Derrickson Drama Horror Thriller,"When a younger girl called Emily Rose (Carpenter) dies, everyone puts blame on the exorcism which was performed on her by Father Moore (Wilkinson) prior to her death. The priest is arrested on suspicion of murder. The trail begins with lawyer Erin Bruner (Linney) representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true."
Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance,deuce bigalow: male gigolo,Amy Poehler Eddie Griffin Bree Turner Mike Mitchell Comedy Romance,"Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail."
Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance,the family stone,Craig T. Nelson Paul Schneider Tyrone Giordano Thomas Bezucha Comedy Drama Romance,"An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama,bad santa,Bernie Mac Tony Cox Alex Borstein Terry Zwigoff Comedy Crime Drama,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot."
Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime,austin powers: international man of mystery,Will Ferrell Charles Napier Robert Wagner Jay Roach Comedy Crime,"As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might."
Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance,my big fat greek wedding 2,Nia Vardalos Louis Mandylor Joey Fatone Kirk Jones Comedy Family Romance,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding."""
David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family,diary of a wimpy kid: rodrick rules,Zachary Gordon Rachael Harris Fran Kranz David Bowers Comedy Family,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond."
John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi,predator,Shane Black Bill Duke Carl Weathers John McTiernan Action Horror Sci-Fi,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time."
Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,amadeus,Jeffrey Jones F. Murray Abraham Tom Hulce Milos Forman Biography Drama History Music,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum."
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,prom night,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror Mystery,"This slasher movie follows a relentless killer who is out to avenge the death of a young girl who died after being bullied and teased by four of her classmates. Now high-school students, the guilt-ridden kids have kept their involvement a secret, but when they start being murdered, one by one, it's clear that someone knows the truth. Also coping with the past are members of the dead girl's family, most notably her prom-queen sister, Kim Hammond (Jamie Lee Curtis)."
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,prom night,Ming-Na Wen Scott Porter Collins Pennie Nelson McCormick Horror Mystery,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends."
Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,mean girls,Tina Fey Amy Poehler Neil Flynn Mark Waters Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance,under the tuscan sun,Raoul Bova Lindsay Duncan Mario Monicelli Audrey Wells Comedy Drama Romance,"After a rough divoce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted."
Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,gosford park,Kristin Scott Thomas Bob Balaban Tom Hollander Robert Altman Drama Mystery,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England."
Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance,peggy sue got married,Nicolas Cage Kathleen Turner Joan Allen Francis Ford Coppola Comedy Drama Fantasy Romance,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school."
Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,blue jasmine,Sally Hawkins Charlie Tahan Andrew Dice Clay Woody Allen Drama,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own."
Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,united 93,Christian Clemenson David Alan Basche Susan Blommaert Paul Greengrass Drama History Thriller,"A real time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot."
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,honey,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama Music Romance,"Honey Daniels (Jessica Alba) dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director (David Moscow) who casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life."
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,honey,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama Music Romance,"In the remote and undeveloped eastern Black Sea region, a six-year-old boy (Yusuf) wanders through the woods searching for his lost father, trying to make sense of his life.His father is a beekeeper whose bees have disappeared unexpectedly, threatening his livelihood. A bizarre accident kills the father.There is little dialogue or music in the film. The three main characters (Yusuf and his parents) are all fairly taciturn, and the soundtrack is filled out with the sounds of the forest and the creatures that live there.The environment is a recurring theme."
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,honey,Christian Monzon Mekhi Phifer Romeo Miller Bille Woodruff Drama Music Romance,"Irene, nicknamed 'Miele', has devote herself to people looking for help, and tries to alleviate their suffering even when they make extreme decisions. One day she has to cope with Grimaldi and his invisible malaise."
Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,glory,Denzel Washington Morgan Freeman Matthew Broderick Edward Zwick Drama History War,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates."
Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy,spy hard,Hulk Hogan Barry Bostwick Nicollette Sheridan Rick Friedberg Action Comedy,"The evil Gen. Rancor has his sights set on world domination, and only one man can stop him: Dick Steele, also known as Agent WD-40. Rancor needs to obtain a computer circuit for the missile that he is planning to fire, so Steele teams up with Veronique Ukrinsky, a KGB agent whose father designed the chip. Together they try to locate the evil mastermind's headquarters, where Veronique's father and several other hostages are being held."
Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport,soul surfer,Dennis Quaid Chris Brochu Craig T. Nelson Sean McNamara Biography Drama Family Sport,"Soul Surfer is the inspiring true story of teen surfer Bethany Hamilton. Bethany lost her left arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.Bethany (AnnaSophia Robb) was born to surf. A natural talent who took to the waves at a young age, she was leading an idyllic life on Kauai, participating in national surf competitions with her best friend Alana (Lorraine Nicholson), when everything changed. On Halloween morning, a 14-foot tiger shark came out of nowhere and seemed to shatter all her dreams.Soul Surfer reveals Bethany's fight to recover from her ordeal and how she grappled with the question of her future. Strengthened by the love of her parents, Tom (Dennis Quaid) and Cheri (Helen Hunt), and supported by her youth group leader Sara (Carrie Underwood), Bethany refuses to give in or give up, and begins a bold return to the water."
Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War,catch-22,Bob Newhart Bob Balaban Martin Balsam Mike Nichols Comedy Drama War,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general."
Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama,observe and report,Collette Wolfe Celia Weston Dan Bakkedahl Jody Hill Comedy Crime Drama,"Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective, is recruited to close the case."
Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,conan the destroyer,Mako Olivia d'Abo Grace Jones Richard Fleischer Action Adventure Fantasy,"Based on a character created by Robert E. Howard, this fast-paced, occasionally humorous sequel to Conan the Barbarian features the hero (Arnold Schwarzenegger) as he is commissioned by the evil queen Taramis (Sarah Douglas) to safely escort a teen princess (Olivia D'Abo) and her powerful bodyguard (Wilt Chamberlain) to a far away castle to retrieve the magic Horn of Dagon. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro (Mako), the wild woman Zula (Grace Jones), and the inept Malak (Tracey Walter). Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land."
Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport,raging bull,Robert De Niro Cathy Moriarty Frank Vincent Martin Scorsese Biography Drama Sport,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone."
Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance,love happens,Judy Greer Sasha Alexander Frances Conroy Brandon Camp Drama Romance,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons."
Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,young sherlock holmes,Nicholas Rowe Roger Ashton-Griffiths Freddie Jones Barry Levinson Adventure Fantasy Mystery Thriller,"Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it."
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,fame,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen Comedy Drama Musical Romance,A chronicle of the lives of several teenagers who attend a New York high school for students gifted in the performing arts
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,fame,Kelsey Grammer Kay Panabaker Megan Mullally Kevin Tancharoen Comedy Drama Musical Romance,"An updated version of the 1980 musical, which centered on the students of the New York Academy of Performing Arts."
Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller,127 hours,James Franco Treat Williams Kate Burton Danny Boyle Adventure Biography Drama Thriller,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.
Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime,small time crooks,Woody Allen Jon Lovitz Michael Rapaport Woody Allen Comedy Crime,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,center stage,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner Drama Music Romance,A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,center stage,Amanda Schull Susan May Pratt Ethan Stiefel Nicholas Hytner Drama Music Romance,"The film is based on a true story: the tragic life of China's first prima donna of the silver screen, Ruan Lingyu. This movie chronicles her rise to fame as a movie actress in Shanghai during the 1930s. Actress Maggie Cheung portrayed Ruan in this movie. Nicknamed the ""Chinese Garbo,"" Ruan Lingyu began her acting career when she was 16 years old and committed suicide at age 24. The film alternates between present scenes (production talks between director Kwan, Cheung, and co-star Carina Lau, interviews of witnesses who knew Ruan), re-creation scenes with Cheung (as Ruan, acting inside this movie), and extracts from Ruan's original films including her final two films The Goddess and New Women."
Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy,love the coopers,Olivia Wilde Alex Borstein Timothée Chalamet Jessie Nelson Comedy,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday."
Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Comedy Crime,catch that kid,Kristen Stewart Corbin Bleu Kevin G. Schmidt Bart Freundlich Comedy Crime,"Athletic 12-year-old Maddy (Kristen Stewart) shares an enthusiasm for mountain climbing with her father, Tom (Sam Robards). Unfortunately, Tom suffers a spinal injury while scaling Mount Everest, and his family is unable to afford the surgery that can save him. Maddy decides to get the money for her father's operation by robbing a high-security bank. She relies on her climbing skills and help from her geeky friends (Max Thieriot, Corbin Bleu) to pull it off successfully."
Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama,life as a house,Ian Somerhalder Hayden Christensen Kristin Scott Thomas Irwin Winkler Drama,"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father."
Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Biography Drama,steve jobs,Kate Winslet Michael Fassbender Michael Stuhlbarg Danny Boyle Biography Drama,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter."
Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Comedy Romance,"i love you, beth cooper",Alan Ruck Marie Avgeropoulos Shawn Roberts Chris Columbus Comedy Romance,"Nerdy teenager Denis Cooverman (Paul Rust) harbors a secret crush on Beth Cooper (Hayden Panettiere), the hottest girl in high school. During his graduation speech, Denis lets the cat out of the bag and declares his love for Beth, who, instead of dissing Denis, shows up at his house later that day and promises to show him the time of his life."
Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Comedy Drama Romance,youth in revolt,Steve Buscemi Ari Graynor Fred Willard Miguel Arteta Comedy Drama Romance,"Nick Twisp (Michael Cera), a teen with a taste for the finer things in life like Sinatra and Fellini, falls hopelessly in love with the beautiful, free-spirited Sheeni Saunders (Portia Doubleday) while on a family vacation.  But family, geography and jealous ex-lovers conspire to keep these two apart. Nick abandons his dull, predictable life and develops a rebellious alter ego: François.  With his ascot, his moustache and his cigarette, François will stop at nothing to be with Sheeni, and leads Nick on a path of destruction with unpredictable consequences.."
William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Action Adventure Western,the legend of the lone ranger,Jason Robards Richard Farnsworth Michael Horse William A. Fraker Action Adventure Western,"When the young Texas Ranger, John Reid, is the sole survivor of an ambush arranged by the militaristic outlaw leader, Butch Cavendich, he is rescued by an old childhood Comanche friend, Tonto. When he recovers from his wounds, he dedicates his life to fighting the evil that Cavendich represents. To this end, John Reid becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Grant when Cavendich takes him hostage."
John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Drama Thriller,the tailor of panama,Daniel Radcliffe Jamie Lee Curtis Mark Margolis John Boorman Drama Thriller,"A British spy is banished to Panama after having an affair with an ambassador's mistress. Once there he makes connection with a local tailor with a nefarious past and connections to all of the top political and gangster figures in Panama. The tailor also has a wife, who works for the Panamanian president and a huge debt. The mission is to learn what the President intends to do with the Canal."
Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller,blow out,Nancy Allen Dennis Franz John McMartin Brian De Palma Mystery Thriller,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust."
Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Action Crime Thriller,getaway,Rebecca Budig Paul Freeman Bruce Payne Courtney Solomon Action Crime Thriller,"Former race car driver Brent Magna (Hawke) is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner (Gomez) on a high-speed race against time, at the command of the mysterious villain holding his wife hostage."
Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama,the ice storm,Joan Allen Kate Burton Henry Czerny Ang Lee Drama,"In the weekend after thanksgiving 1973 the Hoods are skidding out of control. Benjamin Hood reels from drink to drink, trying not to think about his trouble at the office. His wife, Elena, is reading self help books and losing patience with her husband's lies. Their son, Paul, home for the holidays, escapes to the city to pursue an alluring rich girl from his prep school. Young, budding nymphomaniac, Wendy Hood roams the neighborhood, innocently exploring liquor cabinets and lingerie drawers of her friends' parents, looking for something new. Then an ice storm hits, the worst in a century."
Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Comedy Drama Romance,and so it goes,Yaya DaCosta Annie Parisse Frankie Valli Rob Reiner Comedy Drama Romance,A self-centered realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.
Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Adventure Comedy,troop beverly hills,Craig T. Nelson Shelley Long Kellie Martin Jeff Kanew Adventure Comedy,A Beverly Hills housewife in the middle of a divorce tries to find focus in her life by taking over her daughter's Wilderness Girls troop.
István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Comedy Drama Romance,being julia,Miriam Margolyes Shaun Evans Juliet Stevenson István Szabó Comedy Drama Romance,"Julia Lambert is a true diva: beautiful, talented, weathly and famous.  She has it all - including a devoted husband who has mastermined her brilliant career - but after years of shining in the spotlight she begins to suffer from a severe case of boredom and longs for something new and exciting to put the twinkle back in her eye.  Julia finds exactly what she's looking for in a handsome young American fan, but it isn't long before the novelty fling adds a few more sparks than she was hoping for.  Fortuately for her, this surprise twist in the plot will trust her back into the greatest role of her life."
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy,dragonslayer,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins Action Adventure Fantasy,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy,dragonslayer,Ian McDiarmid Ralph Richardson Albert Salmi Matthew Robbins Action Adventure Fantasy,"Dragonslayer documents the transgressions of a lost skate punk falling in love in the stagnant suburbs of Fullerton, California in the aftermath of America's economic collapse. Taking the viewer through a golden SoCal haze of broken homes, abandoned swimming pools and stray glimpses of unusual beauty, Dragonslayer captures the life and times of Josh 'Skreech' Sandoval, a local skate legend and new father, as his endless summer finally collides with the future. Set to the alternately roaring and dreamy soundtrack of bands from the indie labels Mexican Summer and Kemado Records including Best Coast, Bipolar Bear, Children, Dungen, Eddy Current and the Suppression Ring, Golden Triangle, Jacuzzi Boys, Little Girls, Real Estate, The Soft Pack, Saviours, as well as DEATH and Thee Oh Sees. Dragonslayer is a punk-rock manifesto to youth, love and learning to survive after the decline of western civilization."
Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,Biography Drama Romance,the last station,David Masterson Kerry Condon Anne-Marie Duff Michael Hoffman Biography Drama Romance,"A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of material things. The Countess Sofya, wife and muse to Leo Tolstoy, uses every trick of seduction on her husband's loyal disciple, whom she believes was the person responsible for Tolstoy signing a new will that leaves his work and property to the Russian people."
Tim Burton,Johnny Depp,Bill Murray,Martin Landau,Biography Comedy Drama,ed wood,Johnny Depp Bill Murray Martin Landau Tim Burton Biography Comedy Drama,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful."
Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama,labor day,J.K. Simmons Kate Winslet Brooke Smith Jason Reitman Drama,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited."
Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War,mongol: the rise of genghis khan,Tadanobu Asano Khulan Chuluun Honglei Sun Sergey Bodrov Adventure Biography Drama History War,"The story recounts the early life of Genghis Khan, a slave who went on to conquer half the world in the 11th century."
Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Action Crime Thriller,rocknrolla,Tom Hardy Gerard Butler Tom Wilkinson Guy Ritchie Action Crime Thriller,"When a Russian mobster sets up a real estate scam that generates millions of pounds, various members of London's criminal underworld pursue their share of the fortune. Various shady characters, including Mr One-Two, Stella the accountant, and Johnny Quid, a druggie rock-star, try to claim their slice."
Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Action Sci-Fi,megaforce,Barry Bostwick Michael Beck Henry Silva Hal Needham Action Sci-Fi,Megaforce is an elite multi-national military unit that does the jobs that individual governments wont. When the peaceful Republic of Sardun in under threat from their more aggressive neighbour the beautiful Major Zara (Persis Khambatta) and General Byrne-White (Edward Mulhare) see the help of Ace Hunter (Barry Bostwick) and Megaforce.
Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,Biography Drama Music Romance,mao's last dancer,Bruce Greenwood Suzie Steen Aden Young Bruce Beresford Biography Drama Music Romance,"At the age of 11, Li was plucked from a poor Chinese village by Madame Mao's cultural delegates and taken to Beijing to study ballet. In 1979, during a cultural exchange to Texas, he fell in love with an American woman. Two years later, he managed to defect and went on to perform as a principal dancer for the Houston Ballet and as a principal artist with the Australian Ballet."
Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,Adventure Drama Sci-Fi Thriller,midnight special,Kirsten Dunst Sam Shepard Paul Sparks Jeff Nichols Adventure Drama Sci-Fi Thriller,A father and son go on the run after the dad learns his child possesses special powers.
Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Comedy Romance,anything else,Woody Allen Stockard Channing Fisher Stevens Woody Allen Comedy Romance,"Jerry Falk, an aspiring writer in New York, falls in love at first sight with a free-spirited young woman named Amanda  He has heard the phrase that life is like ""anything else,"" but soon he finds that life with the unpredictable Amanda isn't like anything else at all."
Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Biography Drama Romance War,the railway man,Jeremy Irvine Colin Firth Sam Reid Jonathan Teplitzky Biography Drama Romance War,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story."
Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Drama Mystery,the white ribbon,Ulrich Tukur Burghart Klaußner Leonie Benesch Michael Haneke Drama Mystery,"Strange events happen in a small village in the north of Germany during the years just before World War I, which seem to be ritual punishment. The abused and suppressed children of the villagers seem to be at the heart of this mystery."
Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,restoration,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician."
Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,restoration,Zack Ward Anna Harr James Cullen Bressack Zack Ward Horror,"During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems..."
Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller,the wraith,Clint Howard Randy Quaid Nick Cassavetes Mike Marvin Action Horror Romance Sci-Fi Thriller,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way..."
